"mmdd","dd","Qw","Qw_max","Qw_min","Qw_std","Qs","Qs_max","Qs_min","Qs_std","Qs_m","Qs_m_max","Qs_m_min","Qs_m_std","Qw_m.avg","Qs_m_m.avg"
"126",506,125,748.2329268293,2330,0,561.9698703678,8.7970207561,60.7,0,12.2428355179,3.319630474,22.9056603773585,0,4.61993793128302,734.3224738676,2.96301551640431
"127",507,126,749.6012195122,2260,0,551.4096082414,8.283204878,52,0,10.3781466577,3.12573768981132,19.622641509434,0,3.91628175762264,739.1618466899,3.10147879955795
"128",508,127,752.4182926829,2490,0,579.8258371869,7.5958585366,43.3,0,8.9264006835,2.86636171192453,16.3396226415094,0,3.36845308811321,742.741637630657,3.22207271185445
"129",509,128,729.5219512195,2400,0,590.6560392954,8.1955853659,40.7,0,10.1887669678,3.09267372298113,15.3584905660377,0,3.84481772369811,742.8444599303,3.23317767536927
"130",510,129,752.3390243902,2570,0,656.2774321421,9.3248280488,72.5,0,14.133702289,3.51880303728302,27.3584905660377,0,5.33347256188679,732.053658536571,3.11095495365499
"131",511,130,745.943902439,2826,0,676.8235445996,9.616802439,86.3,0,16.2683701435,3.62898205245283,32.5660377358491,0,6.13900760132075,722.541226480829,3.05035100914286
"132",512,131,721.853902439,2466,0,640.1986340382,8.1621458537,45,0,11.0231703053,3.08005503913208,16.9811320754717,0,4.15968690766038,710.470076655043,2.99374588127224
"133",513,132,672.6973170732,2060,0,585.7115717229,6.5297892683,35.5,0,8.6807335648,2.464071422,13.3962264150943,0,3.27574851501887,701.4979163763,2.8587523108248
"134",514,133,683.014195122,2100,0,593.8635439253,7.1590017073,42,0,9.5029860269,2.70151007822641,15.8490566037736,0,3.58603246298113,690.215512195129,2.67668176976819
"135",515,134,667.9202439024,2080,0,549.697566806,6.5458334146,40.8,0,8.8335435185,2.47012581683019,15.3962264150943,0,3.33341264849057,680.200463414643,2.45977532049057
"136",516,135,666.7168292683,1880,0,530.4370663304,5.6914546341,29,0,7.2222329548,2.14771872984906,10.9433962264151,0,2.72537092633962,672.108651567957,2.37171315494879
"137",517,136,673.362195122,2040,0,537.2324868877,5.9474195122,33.3,0,7.6220765997,2.24430924988679,12.5660377358491,0,2.87625532064151,673.4989303136,2.42715853000539
"138",518,137,675.8385609756,2130,0,550.5586495764,5.5931878049,24.3,0,7.1737223497,2.11063690750943,9.16981132075472,0,2.70706503762264,674.610142857143,2.45160022352022
"139",519,138,665.2112195122,2030,0,556.7603558633,6.5285926829,29.2,0,8.4736523632,2.46361988033962,11.0188679245283,0,3.19760466535849,676.040003484329,2.46796473604852
"140",520,139,682.4292682927,2890,0,636.2892330709,7.5583009756,70.5,0,12.6846682289,2.85218904739623,26.6037735849057,0,4.78666725618868,674.198923344957,2.48464129906199
"141",521,140,690.7926829268,3180,0,666.8393844811,7.612395122,77.3,0,13.4564487857,2.87260193283019,29.1698113207547,0,5.07790520215094,670.613034843214,2.49532137269003
"142",522,141,677.9292682927,2620,0,624.9444244266,6.849395122,40.6,0,9.8570701013,2.5846774045283,15.3207547169811,0,3.71964909483019,663.547874564471,2.54070694891644
"143",523,142,653.8292682927,2470,0,594.5133527701,6.000804878,33.6,0,7.9642246467,2.2644546709434,12.6792452830189,0,3.00536779120755,657.123937282243,2.52905950956334
"144",524,143,648.2609756098,2450,0,600.4620541208,6.145534878,41.4,0,9.2917536133,2.31906976528302,15.622641509434,0,3.50632211822641,650.301637630671,2.52346061402695
"145",525,144,626.3824390244,2470,0,619.7310418592,6.4350902439,72.1,0,12.5540003196,2.42833594109434,27.2075471698113,0,4.73735861116981,647.477944250886,2.59935628163342
"146",526,145,620.2436585366,2560,0,626.9831533612,6.3125326829,52.1,0,10.5056359648,2.38208780486792,19.6603773584906,0,3.96439093011321,648.387700348443,2.7958647820593
"147",527,146,634.6731707317,3260,0,704.0846639519,7.4544414634,71.7,0,13.9579076384,2.81299677864151,27.0566037735849,0,5.26713495788679,654.074459930329,3.06245815527763
"148",528,147,671.0268292683,4050,0,825.7399678544,9.0202597561,98.4,0,19.6031249763,3.40387160607547,37.1320754716981,0,7.39740565143396,662.626132404186,3.28490115047978
